Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
4.014000e+08, 1.001661e+00, -1.143968e+00, 4.410699e-10, 7.766725e+01, -1.572620e+00
4.052000e+08, 1.001682e+00, -1.154499e+00, 4.406540e-10, 7.677601e+01, -1.572634e+00
4.090000e+08, 1.001700e+00, -1.165021e+00, 4.402340e-10, 7.589988e+01, -1.572645e+00
4.128000e+08, 1.001715e+00, -1.175532e+00, 4.398101e-10, 7.503844e+01, -1.572653e+00
4.166000e+08, 1.001728e+00, -1.186033e+00, 4.393824e-10, 7.419130e+01, -1.572659e+00
4.204000e+08, 1.001737e+00, -1.196523e+00, 4.389511e-10, 7.335807e+01, -1.572661e+00
4.242000e+08, 1.001744e+00, -1.207004e+00, 4.385163e-10, 7.253836e+01, -1.572661e+00
4.280000e+08, 1.001749e+00, -1.217474e+00, 4.380783e-10, 7.173181e+01, -1.572658e+00
4.318000e+08, 1.001750e+00, -1.227933e+00, 4.376372e-10, 7.093807e+01, -1.572653e+00
4.356000e+08, 1.001750e+00, -1.238382e+00, 4.371933e-10, 7.015681e+01, -1.572646e+00
4.394000e+08, 1.001747e+00, -1.248821e+00, 4.367467e-10, 6.938770e+01, -1.572637e+00
4.432000e+08, 1.001742e+00, -1.259249e+00, 4.362976e-10, 6.863041e+01, -1.572625e+00
4.470000e+08, 1.001735e+00, -1.269666e+00, 4.358464e-10, 6.788466e+01, -1.572611e+00
4.508000e+08, 1.001726e+00, -1.280072e+00, 4.353931e-10, 6.715012e+01, -1.572596e+00
4.546000e+08, 1.001715e+00, -1.290468e+00, 4.349381e-10, 6.642654e+01, -1.572579e+00
4.584000e+08, 1.001701e+00, -1.300852e+00, 4.344815e-10, 6.571361e+01, -1.572560e+00
4.622000e+08, 1.001687e+00, -1.311226e+00, 4.340237e-10, 6.501109e+01, -1.572540e+00
4.660000e+08, 1.001670e+00, -1.321589e+00, 4.335648e-10, 6.431870e+01, -1.572518e+00
4.698000e+08, 1.001652e+00, -1.331941e+00, 4.331050e-10, 6.363620e+01, -1.572495e+00
